Id,SalePrice
1461,130921.2524
1462,147119.1361
1463,157213.7208
1464,179835.3455
1465,202187.204
1466,176649.5943
1467,165460.9997
1468,171011.4468
1469,176982.6723
1470,113814.4439
1471,184714.7783
1472,95211.67813
1473,97619.15852
1474,160344.3306
1475,135808.1774
1476,361772.7282
1477,246834.3853
1478,328484.4281
1479,279467.8935
1480,500338.2055
1481,322603.4452
1482,205856.7176
1483,168633.1541
1484,171351.2218
1485,162144.0068
1486,186797.7437
1487,356789.0379
1488,261867.1416
1489,197527.9223
1490,182249.6474
1491,182462.4879
1492,119678.93
1493,175982.7105
1494,302738.158
1495,290739.9015
1496,215182.5559
1497,196340.8492
1498,151659.3558
1499,151659.3558
1500,147966.9555
1501,173920.4141
1502,147122.1627
1503,259480.3781
1504,238534.708
1505,217970.0858
1506,203471.2328
1507,227025.2411
1508,199639.2011
1509,167539.5661
1510,135231.4773
1511,144447.208
1512,178998.8527
1513,176325.0494
1514,136154.0526
1515,150364.9235
1516,176876.245
1517,138755.0716
1518,167430.8754
1519,215989.4087
1520,138079.6997
1521,141104.8139
1522,172343.645
1523,112963.3022
1524,119350.7829
1525,123467.1143
1526,122746.0204
1527,96729.3541
1528,122961.0924
1529,150354.351
1530,156020.4688
1531,130069.5734
1532,106524.6492
1533,156233.4292
1534,122451.3126
1535,139400.2953
1536,136203.4096
1537,86711.12674
1538,181189.6301
1539,240560.5945
1540,143444.4459
1541,161829.4751
1542,138872.7909
1543,222976.5867
1544,82531.14137
1545,117580.0012
1546,131440.6441
1547,120616.2245
1548,136134.3172
1549,103278.483
1550,152658.7633
1551,139360.0171
1552,141226.8024
1553,132997.5019
1554,115330.066
1555,152790.0407
1556,110025.294
1557,127591.9619
1558,105546.377
1559,120913.412
1560,149423.2854
1561,144009.0104
1562,124939.1842
1563,118436.8915
1564,156130.2968
1565,139053.4811
1566,203507.1791
1567,88739.68413
1568,203809.7482
1569,129456.0428
1570,124844.228
1571,114137.8137
1572,138236.8115
1573,214053.8708
1574,160336.7093
1575,189213.9708
1576,202243.94
1577,193756.2746
1578,162731.4061
1579,130334.4236
1580,188944.2417
1581,123547.2536
1582,129560.0072
1583,356492.294
1584,241381.1358
1585,142192.02
1586,79389.25881
1587,101113.203
1588,137609.2492
1589,104070.4179
1590,131779.312
1591,106692.4939
1592,135670.8698
1593,135724.6426
1594,126194.6538
1595,127711.8583
1596,232660.1393
1597,160853.3489
1598,166862.0677
1599,178753.2543
1600,192298.1996
1601,71676.31203
1602,126036.7735
1603,105487.9293
1604,262880.0111
1605,256993.2716
1606,170900.6911
1607,217446.1719
1608,202930.2154
1609,180228.9033
1610,132771.5876
1611,147676.4345
1612,187257.0393
1613,166546.7923
1614,121872.2646
1615,84841.57533
1616,84841.57533
1617,87823.51339
1618,118026.6102
1619,125528.5843
1620,180948.0009
1621,123238.1049
1622,127848.5661
1623,279428.5873
1624,197463.0893
1625,140540.9102
1626,181141.666
1627,179340.7042
1628,256736.0257
1629,166556.6838
1630,308465.1538
1631,237697.5055
1632,253983.5478
1633,161594.5231
1634,176065.7904
1635,173387.4522
1636,164516.2212
1637,161479.3183
1638,217493.3129
1639,181778.0878
1640,255076.2035
1641,178350.6983
1642,223487.0619
1643,242606.1495
1644,231449.4379
1645,165043.333
1646,160429.5058
1647,177241.3302
1648,144983.7069
1649,130179.7506
1650,112734.0797
1651,112734.0797
1652,95211.67813
1653,96476.1702
1654,175882.5374
1655,164353.7196
1656,160344.3306
1657,175882.5374
1658,160344.3306
1659,134419.3743
1660,130210.5979
1661,418382.9096
1662,382858.2481
1663,379564.3927
1664,482827.1431
1665,348575.6282
1666,234481.7403
1667,294792.1726
1668,332043.3739
1669,269846.7645
1670,331652.0664
1671,245979.9795
1672,514470.8703
1673,310006.9277
1674,263515.1473
1675,175479.0958
1676,186491.5896
1677,195368.3626
1678,503847.4567
1679,326299.7615
1680,312921.8267
1681,239654.5579
1682,286711.4275
1683,172335.5516
1684,173865.9557
1685,173549.6643
1686,176369.9166
1687,162144.0068
1688,183758.5693
1689,184313.3579
1690,181390.0689
1691,164461.5112
1692,244814.102
1693,162144.0068
1694,177185.8344
1695,171130.3977
1696,256115.6235
1697,170679.631
1698,318682.221
1699,348245.5098
1700,236405.7663
1701,261305.8735
1702,272691.1255
1703,274913.1762
1704,302935.4526
1705,245559.2617
1706,485289.7187
1707,199413.8491
1708,178250.6802
1709,288672.0919
1710,233117.988
1711,244726.5949
1712,251263.2418
1713,244996.7919
1714,222413.9906
1715,202498.6613
1716,172796.559
1717,158294.7819
1718,118265.7547
1719,191167.7904
1720,251362.7562
1721,160429.9422
1722,115522.1812
1723,151839.7042
1724,214341.0974
1725,228079.2124
1726,188575.1131
1727,169804.4309
1728,181756.9932
1729,155860.3413
1730,150196.6055
1731,121708.7233
1732,130856.7811
1733,125549.1582
1734,124708.131
1735,123865.0429
1736,121719.5042
1737,338820.5777
1738,199109.5486
1739,289379.8013
1740,178526.7043
1741,156956.926
1742,173920.4141
1743,171719.0258
1744,279746.9287
1745,243663.6465
1746,248881.7216
1747,238200.6947
1748,214064.5281
1749,161539.7142
1750,139990.9554
1751,222352.2864
1752,120249.1934
1753,171316.4149
1754,233689.6585
1755,168611.1037
1756,115330.4376
1757,120229.7327
1758,135611.8126
1759,154830.5249
1760,157502.3339
1761,149694.0096
1762,157241.4079
1763,159411.6255
1764,120445.5833
1765,187274.8104
1766,182050.45
1767,191712.6785
1768,139007.6996
1769,177946.5683
1770,130108.6227
1771,141409.7343
1772,138733.8006
1773,132329.3522
1774,161922.7203
1775,139475.6864
1776,110116.0324
1777,105895.8731
1778,123410.3841
1779,115816.0363
1780,171828.6737
1781,136554.4399
1782,87665.43063
1783,134364.7995
1784,90526.8013
1785,133797.9626
1786,170737.5259
1787,184072.4374
1788,67913.64933
1789,119674.6507
1790,83252.63946
1791,225398.4925
